txt_emo,txt_cond,wav_emo,tts_model,filename,pred_emo,slm
sad,implicit,neutral,STYLE,05_sad_implicit_neutral_0012_STYLE.wav,neutral,salmonn
happy,implicit,happy,STYLE,08_happy_implicit_happy_0020_STYLE.wav,neutral,salmonn
happy,implicit,neutral,STYLE,07_happy_implicit_neutral_0020_STYLE.wav,angry,salmonn
neutral,neutral,neutral,STYLE,24_neutral_neutral_0017_STYLE.wav,neutral,salmonn
neutral,neutral,angry,STYLE,18_neutral_angry_0017_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,04_sad_explicit_sad_0014_STYLE.wav,sad,salmonn
happy,explicit,sad,STYLE,04_happy_explicit_sad_0013_STYLE.wav,happy,salmonn
angry,implicit,sad,STYLE,10_angry_implicit_sad_0014_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,03_sad_explicit_neutral_0012_STYLE.wav,sad,salmonn
angry,explicit,sad,STYLE,06_angry_explicit_sad_0014_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,07_sad_explicit_neutral_0013_STYLE.wav,sad,salmonn
angry,explicit,angry,STYLE,01_angry_explicit_angry_0011_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,07_neutral_angry_0019_STYLE.wav,neutral,salmonn
happy,implicit,happy,STYLE,07_happy_implicit_happy_0012_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,10_neutral_sad_0017_STYLE.wav,neutral,salmonn
neutral,neutral,angry,STYLE,21_neutral_angry_0015_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,08_sad_explicit_sad_0020_STYLE.wav,sad,salmonn
angry,implicit,angry,STYLE,07_angry_implicit_angry_0012_STYLE.wav,angry,salmonn
neutral,neutral,angry,STYLE,17_neutral_angry_0011_STYLE.wav,neutral,salmonn
neutral,neutral,sad,STYLE,18_neutral_sad_0015_STYLE.wav,neutral,salmonn
happy,explicit,neutral,STYLE,01_happy_explicit_neutral_0011_STYLE.wav,happy,salmonn
happy,explicit,angry,STYLE,04_happy_explicit_angry_0019_STYLE.wav,happy,salmonn
happy,implicit,angry,STYLE,03_happy_implicit_angry_0016_STYLE.wav,angry,salmonn
happy,explicit,sad,STYLE,08_happy_explicit_sad_0016_STYLE.wav,happy,salmonn
angry,explicit,sad,STYLE,05_angry_explicit_sad_0014_STYLE.wav,angry,salmonn
happy,explicit,happy,STYLE,10_happy_explicit_happy_0019_STYLE.wav,happy,salmonn
sad,explicit,sad,STYLE,10_sad_explicit_sad_0017_STYLE.wav,sad,salmonn
angry,explicit,sad,STYLE,11_angry_explicit_sad_0011_STYLE.wav,angry,salmonn
happy,explicit,neutral,STYLE,02_happy_explicit_neutral_0017_STYLE.wav,happy,salmonn
angry,explicit,neutral,STYLE,06_angry_explicit_neutral_0014_STYLE.wav,angry,salmonn
sad,implicit,happy,STYLE,13_sad_implicit_happy_0018_STYLE.wav,angry,salmonn
angry,implicit,neutral,STYLE,09_angry_implicit_neutral_0013_STYLE.wav,angry,salmonn
sad,explicit,happy,STYLE,12_sad_explicit_happy_0011_STYLE.wav,sad,salmonn
neutral,neutral,angry,STYLE,05_neutral_angry_0011_STYLE.wav,neutral,salmonn
sad,explicit,happy,STYLE,05_sad_explicit_happy_0015_STYLE.wav,sad,salmonn
happy,implicit,neutral,STYLE,06_happy_implicit_neutral_0020_STYLE.wav,neutral,salmonn
sad,explicit,happy,STYLE,09_sad_explicit_happy_0011_STYLE.wav,sad,salmonn
happy,implicit,sad,STYLE,09_happy_implicit_sad_0011_STYLE.wav,angry,salmonn
happy,implicit,happy,STYLE,12_happy_implicit_happy_0019_STYLE.wav,neutral,salmonn
angry,explicit,angry,STYLE,09_angry_explicit_angry_0011_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,12_sad_explicit_sad_0013_STYLE.wav,sad,salmonn
angry,implicit,angry,STYLE,04_angry_implicit_angry_0020_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,23_neutral_happy_0019_STYLE.wav,angry,salmonn
sad,explicit,angry,STYLE,05_sad_explicit_angry_0011_STYLE.wav,sad,salmonn
angry,implicit,sad,STYLE,02_angry_implicit_sad_0011_STYLE.wav,neutral,salmonn
angry,explicit,angry,STYLE,05_angry_explicit_angry_0012_STYLE.wav,angry,salmonn
neutral,neutral,happy,STYLE,05_neutral_happy_0015_STYLE.wav,neutral,salmonn
happy,explicit,neutral,STYLE,12_happy_explicit_neutral_0018_STYLE.wav,happy,salmonn
angry,explicit,sad,STYLE,02_angry_explicit_sad_0020_STYLE.wav,angry,salmonn
happy,explicit,sad,STYLE,13_happy_explicit_sad_0014_STYLE.wav,happy,salmonn
happy,implicit,sad,STYLE,11_happy_implicit_sad_0011_STYLE.wav,neutral,salmonn
sad,implicit,neutral,STYLE,11_sad_implicit_neutral_0015_STYLE.wav,neutral,salmonn
happy,implicit,sad,STYLE,05_happy_implicit_sad_0014_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,13_sad_explicit_sad_0011_STYLE.wav,sad,salmonn
happy,implicit,sad,STYLE,06_happy_implicit_sad_0015_STYLE.wav,neutral,salmonn
neutral,neutral,neutral,STYLE,20_neutral_neutral_0016_STYLE.wav,neutral,salmonn
sad,implicit,neutral,STYLE,10_sad_implicit_neutral_0018_STYLE.wav,neutral,salmonn
neutral,neutral,happy,STYLE,17_neutral_happy_0017_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,24_neutral_sad_0015_STYLE.wav,angry,salmonn
sad,explicit,sad,STYLE,05_sad_explicit_sad_0014_STYLE.wav,sad,salmonn
angry,explicit,sad,STYLE,09_angry_explicit_sad_0012_STYLE.wav,angry,salmonn
neutral,neutral,sad,STYLE,26_neutral_sad_0018_STYLE.wav,neutral,salmonn
neutral,neutral,sad,STYLE,05_neutral_sad_0013_STYLE.wav,neutral,salmonn
happy,implicit,angry,STYLE,10_happy_implicit_angry_0020_STYLE.wav,angry,salmonn
sad,explicit,neutral,STYLE,13_sad_explicit_neutral_0014_STYLE.wav,neutral,salmonn
