txt_emo,txt_cond,wav_emo,lbl_full,tts_model,filename,pred_emo,slm
sad,implicit,neutral,neutral_proxy_sad,STYLE,05_sad_implicit_neutral_0012_STYLE.wav,neutral,salmonn
happy,implicit,happy,happy_cong,STYLE,08_happy_implicit_happy_0020_STYLE.wav,neutral,salmonn
happy,implicit,neutral,neutral_proxy_happy,STYLE,07_happy_implicit_neutral_0020_STYLE.wav,angry,salmonn
neutral,neutral,neutral,neutral_cong,STYLE,24_neutral_neutral_0017_STYLE.wav,neutral,salmonn
neutral,neutral,angry,angry_proxy_neutral,STYLE,18_neutral_angry_0017_STYLE.wav,angry,salmonn
sad,explicit,sad,sad_cong,STYLE,04_sad_explicit_sad_0014_STYLE.wav,sad,salmonn
happy,explicit,sad,sad_proxy_happy,STYLE,04_happy_explicit_sad_0013_STYLE.wav,happy,salmonn
angry,implicit,sad,sad_proxy_angry,STYLE,10_angry_implicit_sad_0014_STYLE.wav,angry,salmonn
sad,explicit,neutral,neutral_proxy_sad,STYLE,03_sad_explicit_neutral_0012_STYLE.wav,sad,salmonn
angry,explicit,sad,sad_proxy_angry,STYLE,06_angry_explicit_sad_0014_STYLE.wav,angry,salmonn
sad,explicit,neutral,neutral_proxy_sad,STYLE,07_sad_explicit_neutral_0013_STYLE.wav,sad,salmonn
angry,explicit,angry,angry_cong,STYLE,01_angry_explicit_angry_0011_STYLE.wav,angry,salmonn
neutral,neutral,angry,angry_proxy_neutral,STYLE,07_neutral_angry_0019_STYLE.wav,neutral,salmonn
happy,implicit,happy,happy_cong,STYLE,07_happy_implicit_happy_0012_STYLE.wav,angry,salmonn
neutral,neutral,sad,sad_proxy_neutral,STYLE,10_neutral_sad_0017_STYLE.wav,neutral,salmonn
neutral,neutral,angry,angry_proxy_neutral,STYLE,21_neutral_angry_0015_STYLE.wav,angry,salmonn
sad,explicit,sad,sad_cong,STYLE,08_sad_explicit_sad_0020_STYLE.wav,sad,salmonn
angry,implicit,angry,angry_cong,STYLE,07_angry_implicit_angry_0012_STYLE.wav,angry,salmonn
neutral,neutral,angry,angry_proxy_neutral,STYLE,17_neutral_angry_0011_STYLE.wav,neutral,salmonn
neutral,neutral,sad,sad_proxy_neutral,STYLE,18_neutral_sad_0015_STYLE.wav,neutral,salmonn
happy,explicit,neutral,neutral_proxy_happy,STYLE,01_happy_explicit_neutral_0011_STYLE.wav,happy,salmonn
happy,explicit,angry,angry_proxy_happy,STYLE,04_happy_explicit_angry_0019_STYLE.wav,happy,salmonn
happy,implicit,angry,angry_proxy_happy,STYLE,03_happy_implicit_angry_0016_STYLE.wav,angry,salmonn
happy,explicit,sad,sad_proxy_happy,STYLE,08_happy_explicit_sad_0016_STYLE.wav,happy,salmonn
angry,explicit,sad,sad_proxy_angry,STYLE,05_angry_explicit_sad_0014_STYLE.wav,angry,salmonn
happy,explicit,happy,happy_cong,STYLE,10_happy_explicit_happy_0019_STYLE.wav,happy,salmonn
sad,explicit,sad,sad_cong,STYLE,10_sad_explicit_sad_0017_STYLE.wav,sad,salmonn
angry,explicit,sad,sad_proxy_angry,STYLE,11_angry_explicit_sad_0011_STYLE.wav,angry,salmonn
happy,explicit,neutral,neutral_proxy_happy,STYLE,02_happy_explicit_neutral_0017_STYLE.wav,happy,salmonn
angry,explicit,neutral,neutral_proxy_angry,STYLE,06_angry_explicit_neutral_0014_STYLE.wav,angry,salmonn
sad,implicit,happy,happy_proxy_sad,STYLE,13_sad_implicit_happy_0018_STYLE.wav,angry,salmonn
angry,implicit,neutral,neutral_proxy_angry,STYLE,09_angry_implicit_neutral_0013_STYLE.wav,angry,salmonn
