slm,tts_model,txt_cond,accuracy,accuracy_proxy
desta2,COSY,explicit,25.6,95.5
desta2,COSY,implicit,30.1,89.1
desta2,COSY,neutral,34.6,8.6
desta2,F5TTS,explicit,25.6,95.5
desta2,F5TTS,implicit,25.0,89.7
desta2,F5TTS,neutral,29.8,10.5
desta2,STYLE,explicit,25.6,97.4
desta2,STYLE,implicit,28.2,91.6
desta2,STYLE,neutral,38.4,7.6
flamingo3,COSY,explicit,28.8,93.5
flamingo3,COSY,implicit,37.8,66.0
flamingo3,COSY,neutral,41.3,76.9
flamingo3,F5TTS,explicit,26.2,98.7
flamingo3,F5TTS,implicit,31.4,82.6
flamingo3,F5TTS,neutral,38.4,86.5
flamingo3,STYLE,explicit,25.0,100.0
flamingo3,STYLE,implicit,30.1,82.0
flamingo3,STYLE,neutral,37.5,82.6
qwen,COSY,explicit,26.2,96.7
qwen,COSY,implicit,30.1,69.2
qwen,COSY,neutral,21.1,11.5
qwen,F5TTS,explicit,26.2,98.7
qwen,F5TTS,implicit,29.4,75.6
qwen,F5TTS,neutral,26.9,9.6
qwen,STYLE,explicit,25.6,99.3
qwen,STYLE,implicit,29.4,73.0
qwen,STYLE,neutral,26.9,6.7
salmonn,COSY,explicit,28.9,80.2
salmonn,COSY,implicit,25.6,21.1
salmonn,COSY,neutral,25.9,89.4
salmonn,F5TTS,explicit,26.9,80.9
salmonn,F5TTS,implicit,33.3,23.7
salmonn,F5TTS,neutral,26.9,92.3
salmonn,STYLE,explicit,27.2,89.6
salmonn,STYLE,implicit,26.2,30.1
salmonn,STYLE,neutral,36.5,71.1
